x	Curve1	Curve2
168,80288	0,0116251	
168,97902	0,0085146	
169,08114		0,0201035
169,15772		0,0170787
169,21899	0,0048992	
169,29813		0,0116451
169,44364		0,0074433
169,46151	0,0024316	
169,63		0,0034928
169,67084	0,0009165	
169,76785		0,0013629
169,83933	0,0001579	
169,90315		0,0002688
170,00271	9,93e-05	
170,00526		1,52e-05
170,19417		0,0010481
170,31671	0,0008221	
170,39585		0,0039285
170,54391		0,0072017
170,63837	0,0032807	
170,68942		0,0113428
170,80685		0,0158484
170,88344	0,0061604	
170,91407		0,0200461
171,07235	0,009321	
171,19489	0,0116707	
